"Canton","Nationalité","Classes d'âge 15-24, 25-49, 50 ans et plus",,"Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Appenzell Rhodes-Intérieures","Total","",,,"116","111","98","97","92","87","84","91","86","87","107","126"
"St-Gall","Etrangers","1","15-24 ans",,"478","491","446","409","387","354","319","419","377","371","382","423"
"St-Gall","Etrangers","2","25-49 ans",,"2'579","2'618","2'546","2'374","2'290","2'186","2'201","2'176","2'119","2'171","2'237","2'475"
"St-Gall","Etrangers","3","50 ans et plus",,"752","788","750","721","724","703","697","664","676","682","718","796"
"St-Gall","Etrangers","Total",,,"3'809","3'897","3'742","3'504","3'401","3'243","3'217","3'259","3'172","3'224","3'337","3'694"
"St-Gall","Suisses","1","15-24 ans",,"793","768","683","648","589","520","540","739","697","652","646","640"
"St-Gall","Suisses","2","25-49 ans",,"1'847","1'815","1'742","1'683","1'686","1'621","1'628","1'670","1'650","1'692","1'743","1'843"
"St-Gall","Suisses","3","50 ans et plus",,"1'179","1'184","1'161","1'133","1'123","1'117","1'120","1'124","1'112","1'145","1'134","1'142"
"St-Gall","Suisses","Total",,,"3'819","3'767","3'586","3'464","3'398","3'258","3'288","3'533","3'459","3'489","3'523","3'625"
"St-Gall","Total","",,,"7'628","7'664","7'328","6'968","6'799","6'501","6'505","6'792","6'631","6'713","6'860","7'319"
"Grisons","Etrangers","1","15-24 ans",,"76","59","56","103","94","57","48","67","71","95","92","67"
"Grisons","Etrangers","2","25-49 ans",,"943","803","740","1'168","938","478","406","363","431","798","946","901"
"Grisons","Etrangers","3","50 ans et plus",,"312","272","254","290","254","187","138","129","137","222","249","283"
"Grisons","Etrangers","Total",,,"1'331","1'134","1'050","1'561","1'286","722","592","559","639","1'115","1'287","1'251"
"Grisons","Suisses","1","15-24 ans",,"180","172","155","148","154","117","128","155","157","141","139","144"
"Grisons","Suisses","2","25-49 ans",,"479","445","402","463","442","396","373","344","334","337","358","400"
"Grisons","Suisses","3","50 ans et plus",,"299","295","301","345","338","291","276","242","249","274","316","299"
"Grisons","Suisses","Total",,,"958","912","858","956","934","804","777","741","740","752","813","843"
"Grisons","Total","",,,"2'289","2'046","1'908","2'517","2'220","1'526","1'369","1'300","1'379","1'867","2'100","2'094"
"Argovie","Etrangers","1","15-24 ans",,"691","679","632","581","546","541","514","618","614","600","624","625"
"Argovie","Etrangers","2","25-49 ans",,"4'119","4'134","4'017","3'862","3'739","3'626","3'509","3'407","3'424","3'521","3'773","4'048"
"Argovie","Etrangers","3","50 ans et plus",,"1'129","1'144","1'148","1'086","1'078","1'072","1'050","1'042","1'059","1'113","1'157","1'232"
"Argovie","Etrangers","Total",,,"5'939","5'957","5'797","5'529","5'363","5'239","5'073","5'067","5'097","5'234","5'554","5'905"
"Argovie","Suisses","1","15-24 ans",,"1'013","977","854","823","798","766","842","1'057","1'026","956","980","970"
